First_Name,Last_Name,Position,Jersey_#,Overall_Rating,Team,Year
Tom,Brady,QB,12,99,Patriots,2019
Rob,Gronkowski,TE,87,99,Patriots,2019
Antonio,Brown,WR,84,99,Steelers,2019
Von,Miller,LOLB,58,99,Broncos,2019
Aaron,Rodgers,QB,12,99,Packers,2019
Luke,Kuechly,MLB,59,99,Panthers,2019
Aaron,Donald,RE,99,99,Rams,2019
J.J.,Watt,LE,99,98,Texans,2019
Khalil,Mack,LE,52,98,Raiders,2019
Julio,Jones,WR,11,98,Falcons,2019
Jalen,Ramsey,CB,20,97,Jaguars,2019
David,Bakhtiari,LT,69,97,Packers,2019
Harrison,Smith,FS,22,97,Vikings,2019
Bobby,Wagner,MLB,54,97,Seahawks,2019
Le'Veon,Bell,HB,26,96,Steelers,2019
Eric,Berry,SS,29,96,Chiefs,2019
Travis,Frederick,C,72,96,Cowboys,2019
Sean,Lee,ROLB,50,96,Cowboys,2019
Zack,Martin,RG,70,96,Cowboys,2019
David,DeCastro,RG,66,95,Steelers,2019
Rodney,Hudson,C,61,95,Raiders,2019
Travis,Kelce,TE,87,95,Chiefs,2019
Odell,Beckham Jr.,WR,13,95,Giants,2019
Damon,Harrison Sr,DT,98,95,Giants,2019
Tyron,Smith,LT,77,95,Cowboys,2019
Lavonte,David,ROLB,54,95,Buccaneers,2019
Cameron,Jordan,LE,94,95,Saints,2019
Earl,Thomas III,FS,29,95,Seahawks,2019
DeAndre,Hopkins,WR,10,94,Texans,2019
A.J.,Bouye,CB,21,94,Jaguars,2019
Malcolm,Jenkins,SS,27,94,Eagles,2019
Jordan,Reed,TE,86,94,Redskins,2019
Trent,Williams,LT,71,94,Redskins,2019
Ndamukong,Suh,DT,93,94,Rams,2019
A.J.,Green,WR,18,93,Bengals,2019
Tyrann,Mathieu,FS,32,93,Texans,2019
Delanie,Walker,TE,82,93,Titans,2019
Brandon,Brooks,RG,79,93,Eagles,2019
Fletcher,Cox,DT,91,93,Eagles,2019
Brandon,Graham,LE,55,93,Eagles,2019
Desmond,Trufant,CB,21,93,Falcons,2019
David,Johnson,HB,31,93,Cardinals,2019
Micah,Hyde,SS,23,92,Bills,2019
Devin,McCourty,FS,32,92,Patriots,2019
Marshal,Yanda,RG,73,92,Ravens,2019
Calais,Campbell,LE,93,92,Jaguars,2019
Keenan,Allen,WR,13,92,Chargers,2019
Ezekiel,Elliott,HB,21,92,Cowboys,2019
Jason,Kelce,C,62,92,Eagles,2019
Everson,Griffen,RE,97,92,Vikings,2019
Greg,Olsen,TE,88,92,Panthers,2019
Xavier,Rhodes,CB,29,92,Vikings,2019
Todd,Gurley II,HB,30,92,Rams,2019
Patrick,Peterson,CB,21,92,Cardinals,2019
Russell,Wilson,QB,3,92,Seahawks,2019
Reshad,Jones,SS,20,91,Dolphins,2019
Geno,Atkins,DT,97,91,Bengals,2019
Jadeveon,Clowney,ROLB,90,91,Texans,2019
Andrew,Norwell,LG,68,91,Jaguars,2019
Casey,Hayward Jr,CB,26,91,Chargers,2019
Zach,Ertz,TE,86,91,Eagles,2019
Lane,Johnson,RT,65,91,Eagles,2019
DeMarcus,Lawrence,LE,90,91,Cowboys,2019
Jason,Peters,LT,71,91,Eagles,2019
Mike,Daniels,RE,76,91,Packers,2019
Darius,Slay Jr,CB,23,91,Lions,2019
Drew,Brees,QB,9,91,Saints,2019
Devonta,Freeman,HB,24,91,Falcons,2019
Michael,Thomas,WR,13,91,Saints,2019
LeSean,McCoy,HB,25,90,Bills,2019
Telvin,Smith,ROLB,50,90,Jaguars,2019
Joey,Bosa,LE,99,90,Chargers,2019
Justin,Houston,LOLB,50,90,Chiefs,2019
Melvin,Ingram III,RE,54,90,Chargers,2019
Kelechi,Osemele,LG,70,90,Raiders,2019
Alshon,Jeffery,WR,17,90,Eagles,2019
Brandon,Scherff,RG,75,90,Redskins,2019
Adrian,Amos,SS,38,90,Bears,2019
Stefon,Diggs,WR,14,90,Vikings,2019
Linval,Joseph,DT,98,90,Vikings,2019
Deion,Jones,MLB,45,90,Falcons,2019
Marshon,Lattimore,CB,23,90,Saints,2019
Alex,Mack,C,51,90,Falcons,2019
Gerald,McCoy,DT,93,90,Buccaneers,2019
Doug,Baldwin,WR,89,90,Seahawks,2019
Kam,Chancellor,SS,31,90,Seahawks,2019
Lamarcus,Joyner,FS,20,90,Rams,2019
Richard,Sherman,CB,25,90,49ers,2019
Joe,Staley,LT,74,90,49ers,2019
Cameron,Wake,LE,91,89,Dolphins,2019
Tyler,Eifert,TE,85,89,Bengals,2019
Jimmy,Smith,CB,22,89,Ravens,2019
Brandon,Williams,LE,98,89,Ravens,2019
Joel,Bitonio,LG,75,89,Browns,2019
T.Y.,Hilton,WR,13,89,Colts,2019
Jabaal,Sheard,RE,93,89,Colts,2019
Kevin,Zeitler,RG,70,89,Browns,2019
Kevin,Byard,FS,31,89,Titans,2019
Jurrell,Casey,RE,99,89,Titans,2019
Brandon,Linder,C,65,89,Jaguars,2019
Melvin,Gordon III,HB,28,89,Chargers,2019
Kareem,Hunt,HB,27,89,Chiefs,2019
Golden,Tate III,WR,15,89,Lions,2019
Kawann,Short,DT,99,89,Panthers,2019
Mike,Evans,WR,13,89,Buccaneers,2019
Keanu,Neal,SS,22,89,Falcons,2019
Matt,Ryan,QB,2,89,Falcons,2019
Larry,Fitzgerald,WR,11,89,Cardinals,2019
Chandler,Jones,RE,55,89,Cardinals,2019
Aqib,Talib,CB,21,89,Rams,2019
Josh,Sitton,LG,71,88,Dolphins,2019
Julian,Edelman,WR,11,88,Patriots,2019
Jordan,Poyer,FS,21,88,Bills,2019
Tre'Davious,White,CB,27,88,Bills,2019
Cameron,Heyward,LE,97,88,Steelers,2019
Ben,Roethlisberger,QB,7,88,Steelers,2019
Myles,Garrett,RE,95,88,Browns,2019
Chris,Harris Jr,CB,25,88,Broncos,2019
Emmanuel,Sanders,WR,10,88,Broncos,2019
Demaryius,Thomas,WR,88,88,Broncos,2019
Hunter,Henry,TE,86,88,Chargers,2019
Michael,Bennett,RE,77,88,Eagles,2019
Landon,Collins,SS,21,88,Giants,2019
Janoris,Jenkins,CB,20,88,Giants,2019
Davante,Adams,WR,17,88,Packers,2019
Zach,Brown,MLB,53,88,Redskins,2019
Kenny,Clark,DT,97,88,Packers,2019
Cam,Newton,QB,1,88,Panthers,2019
Adam,Thielen,WR,19,88,Vikings,2019
Demar,Dotson,RT,69,88,Buccaneers,2019
Alvin,Kamara,HB,41,88,Saints,2019
Michael,Brockers,LE,90,88,Rams,2019
Andrew,Whitworth,LT,77,88,Rams,2019
William,Hayes,LE,95,87,Dolphins,2019
Stephon,Gilmore,CB,24,87,Patriots,2019
Jason,McCourty,CB,30,87,Patriots,2019
Vontaze,Burfict,ROLB,55,87,Bengals,2019
Michael,Pierce,DT,97,87,Ravens,2019
